Plot,Rep,Flood_Condition,Genotype,Num_Emerged,Primary_Root_Length
19,1,Flooded,Holladay,,
20,1,Flooded,N09-13890,,
21,2,Flooded,TCHM06-Morph-204,,
22,2,Flooded,N06-7164,,
23,2,Flooded,NC-Raleigh,,
24,2,Flooded,S11-25615,,
25,2,Flooded,N05-7380,,
26,2,Flooded,N11-7620,,
27,2,Flooded,N11-7433,,
28,2,Flooded,N11-7414,,
29,2,Flooded,N09-13890,,
30,2,Flooded,N07-15307,,
31,2,Flooded,N8002,,
32,2,Flooded,NC-Dunphy,,
33,2,Flooded,N11-7595,,
34,2,Flooded,N11-352,,
35,2,Flooded,Dillon,,
36,2,Flooded,N10-792,,
37,2,Flooded,N14-8537,,
38,2,Flooded,N11-10295,,
39,2,Flooded,Holladay,,
40,2,Flooded,RM-22590,,
41,3,Flooded,Holladay,,
42,3,Flooded,Dillon,,
43,3,Flooded,N11-7595,,
44,3,Flooded,N11-7620,,
45,3,Flooded,N11-352,,
46,3,Flooded,N10-792,,
47,3,Flooded,N07-15307,,
48,3,Flooded,N11-10295,,
49,3,Flooded,RM-22590,,
50,3,Flooded,TCHM06-Morph-204,,
51,3,Flooded,N06-7164,,
52,3,Flooded,N8002,,
53,3,Flooded,N11-7414,,
54,3,Flooded,NC-Raleigh,,
55,3,Flooded,N11-7433,,
56,3,Flooded,N05-7380,,
57,3,Flooded,N09-13890,,
58,3,Flooded,N14-8537,,
59,3,Flooded,NC-Dunphy,,
60,3,Flooded,S11-25615,,
61,4,Flooded,N11-7620,,
62,4,Flooded,N11-10295,,
63,4,Flooded,N14-8537,,
64,4,Flooded,N8002,,
65,4,Flooded,NC-Dunphy,,
66,4,Flooded,Dillon,,
67,4,Flooded,N11-7433,,
68,4,Flooded,N07-15307,,
69,4,Flooded,N10-792,,
70,4,Flooded,N11-352,,
71,4,Flooded,N11-7414,,
72,4,Flooded,N09-13890,,
73,4,Flooded,NC-Raleigh,,
74,4,Flooded,N11-7595,,
75,4,Flooded,RM-22590,,
76,4,Flooded,N05-7380,,
77,4,Flooded,Holladay,,
78,4,Flooded,S11-25615,,
79,4,Flooded,N06-7164,,
80,4,Flooded,TCHM06-Morph-204,,
